id,ts,temperatura,humedadRelativa,lluvia,viento,radiacion
meteorologia-predio-01,2026-09-24T04:46:43.166Z,23.6,85,0,0.9,0
meteorologia-predio-01,2026-09-24T04:36:42.415Z,23.6,85,0,1,0
meteorologia-predio-01,2026-09-24T04:26:41.587Z,23.6,86,0,1.5,0
meteorologia-predio-01,2026-09-24T04:16:40.809Z,23.6,86,0,1.5,0
meteorologia-predio-01,2026-09-24T04:06:39.894Z,23.6,86,0,1.7,0
meteorologia-predio-01,2026-09-24T03:56:39.136Z,23.6,86,0,2,0
meteorologia-predio-01,2026-09-24T03:46:38.398Z,23.6,86,0,2,0
meteorologia-predio-01,2026-09-24T03:36:37.414Z,23.5,86,0,3.4,0
meteorologia-predio-01,2026-09-24T03:26:36.664Z,23.5,86,0,4.8,0
meteorologia-predio-01,2026-09-24T03:16:35.913Z,23.5,86,0,4.8,0
meteorologia-predio-01,2026-09-24T03:06:35.148Z,23.6,86,0,5.3,0
meteorologia-predio-01,2026-09-24T02:56:34.376Z,23.9,86,0,4.5,0
meteorologia-predio-01,2026-09-24T02:46:33.623Z,23.9,86,0,4.5,0
meteorologia-predio-01,2026-09-24T02:36:32.885Z,24.2,85,0,3,0
meteorologia-predio-01,2026-09-24T02:26:32.107Z,24.6,84,0,1.5,0
meteorologia-predio-01,2026-09-24T02:16:31.186Z,24.6,84,0,1.5,0
meteorologia-predio-01,2026-09-24T02:06:30.294Z,24.8,83,0,1.3,0
meteorologia-predio-01,2026-09-24T01:56:29.357Z,24.9,84,0,1.2,0
meteorologia-predio-01,2026-09-24T01:46:28.62Z,24.9,84,0,1.2,0
meteorologia-predio-01,2026-09-24T01:36:27.755Z,24.8,84,0,0.8,0
meteorologia-predio-01,2026-09-24T01:26:26.987Z,24.7,85,0,0.4,0
meteorologia-predio-01,2026-09-24T01:16:26.19Z,24.7,85,0,0.4,0
meteorologia-predio-01,2026-09-24T01:06:25.277Z,24.6,86,0,0.5,0
meteorologia-predio-01,2026-09-24T00:56:24.4Z,24.6,87,0,1,0
meteorologia-predio-01,2026-09-24T00:46:23.511Z,24.6,87,0,1,0
meteorologia-predio-01,2026-09-24T00:36:22.649Z,24.7,87,0,1.6,0
meteorologia-predio-01,2026-09-24T00:26:21.801Z,24.8,87,0,2.3,0
meteorologia-predio-01,2026-09-24T00:16:20.88Z,25.6,85,0,1.1,0
meteorologia-predio-01,2026-09-24T00:06:19.839Z,25.6,86,0,0.7,0
meteorologia-predio-01,2026-09-23T23:56:19.088Z,25.6,86,0,0.9,0
meteorologia-predio-01,2026-09-23T23:46:18.341Z,25.6,86,0,0.9,0
meteorologia-predio-01,2026-09-23T23:36:17.583Z,25.6,87,0,1.4,0
meteorologia-predio-01,2026-09-23T23:26:16.74Z,25.7,88,0,2,0
meteorologia-predio-01,2026-09-23T23:16:15.74Z,25.7,88,0,2,0
meteorologia-predio-01,2026-09-23T23:06:14.88Z,25.8,87,0,1.8,0
